Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,,,,,,,,,,,,,,,,,,,,,,,0.301000002,0.234950645,0.155031894,0.087563969,0.148052538,0.083539405,0.104477735,0.054306311,0.05429838,0.101681568,0.145082503,0.141968875,0.151863691,0.047652447,0.193574683,0.477224474,0.033428542,0.048445898,0.06258253,0.090264237,0.160012116,0.278587364,0.339644112,0.145980689,0.15695154,0.192464755,0.198865415,0.180518373,0.224012016,0.21940371,0.20001468,0.185885366,0.285524737,0.299276396,0.23931744,0.232939387,0.174924551,0.128111719,0.128517018,0.126146573,0.145922991,0.163588819
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,0.311563816,0.30520644,0.253378385,0.280457705,0.30849917,0.316293774,0.366588135,0.382047778,0.395272094,0.364609473,0.34451959,0.390973037,0.425502572,0.415782172,0.363029464,0.411658456,0.395264543,0.443997121,0.521142055,1.328068385,1.373229615,0.813470568,0.755662265,0.726656931,0.728953179,0.719752272,0.690072075,0.665170448,0.666314405,0.677134469,0.679116818,0.660207882,0.643032822,0.586067239,0.933538134,1.070067162,1.082265408,1.011192508,0.899851537,0.79277329,0.734218103,0.707397024,0.585852972,0.567383239,0.543681143,0.522225685,0.604706878,1.48479809,1.322432962
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,0.058772136,0.44036308,0.434201749,0.287686999,0.40756305,0.202816892,0.143010949,0.200186623,0.097911726,0.100700022,0.295750203,0.186709614,0.061972335,0.207179299,0.125706983,0.128068173,0.103445718,0.120880855,0.125717025,0.200143708,0.133187862,0.209150318,0.153664195,0.237222005,0.472217476,0.549177363,0.394770634,0.621977589,0.700261312,0.586936875,0.66270107,0.417962412,0.71673444,0.697752594,0.723802348,0.778687749,0.750404351,0.79537737,0.877599508,0.834813887,0.896321516,0.819403312,0.955908973,1.289203289,1.2097066
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074386824,0.088569659,0.052577895,0.074285511,0.104566766,0.072800719,4.363432444,2.920379115,3.06415561,2.106462239,3.076579061,1.598178124,2.830919852,3.831773732,4.010206949,2.455095655,2.436140417,4.957143643,4.9685173
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,0.284417541,0.257647052,0.186182024,0.133121408,0.098660382,0.076747265,0.049576699,0.026165809,0.00234224,0.000434431,0.200303492,0.184310791,0.156383181,0.159614394,0.1473379,0.159974732,0.241144635,0.200340845,0.30776333,0.196946227,0.099382662,0.495436826,0.320728159,0.43334637,0.038773672,0.353571199,0.321110915,0.171122067,0.163616484,0.189999377,0.186418473,0.350594515,0.252023171,0.397474619,0.386284947,0.401237664,0.232114299,0.23962145,0.070531393,0,0,0.187762566,0.110146367,0.296510284,0.27792636,0.286923413
Colombia,COL,,,,,,,,,,,0.36119336,0.282154533,0.26293353,0.288909875,0.291666245,0.17559083,0.332433727,0.419734824,0.325918115,0.361483584,0.31735828,0.439700964,0.223259883,0.185903252,0.203904932,0.315236653,1.190527646,1.718293029,1.167993409,1.181080053,1.034610529,1.77485013,1.096850938,0.703582302,1.185171735,0.881246648,0.775100392,0.725243325,0.81831137,1.520709704,1.612136939,2.094038132,2.531953664,3.250060382,2.724096004,2.297800929,2.409968852,2.162733068,1.99042005,1.774373586,1.406934363,1.224397175,1.084103234,1.164591752,1.092676956,1.704165764,1.836430049,1.865787648,1.997341378,2.202971759,2.561334784,2.702544191,2.737819169,2.781424074
Comoros,COM,,,,,,,,,,,,,,,,,,,,,0.762762916,0.622258866,1.28667349,0.95864144,1.158554723,2.14978323,1.706537601,2.015023905,2.070972472,2.309676639,2.312558815,2.380414968,3.498092042,3.53951254,4.772402362,3.065021082,,,,,,,,5.859081034,7.685739703,8.267358708,9.048487359,9.306017992,11.06584745,11.09057399,9.609485768,10.57329121,10.84847341,0,13.90215428,13.65030669,11.52660333,12.21398519,14.52057369,14.10410589,18.50191883,22.21997189,22.68287715,20.77816871
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,28.16569226,22.65526295,18.38291105,14.83864832,15.61732888,15.07099956,14.45576028,15.48374935,16.17128098,17.83537465,19.27081337,19.50007971,21.28255772,15.59719642,21.01763655,21.7306947,19.99080825,15.57586788,14.12915596,13.45599868,16.64625843,14.37676049,13.70196123,13.33458833,12.26326369,14.0595288,12.33087106,8.413666783,7.911530782,7.321586653,7.174120796,8.641463028,9.250506424,8.670579576,9.646846487,11.48113512,11.42690959,10.84527955,10.63477935,9.547401368,12.85368883,15.32808474,13.68542133,12.22852551
Costa Rica,CRI,,,,,,,,,,,,,,,,,,0.065095118,0.082311332,0.066905888,0.084860703,0.091470282,0.214837309,0.168426538,0.174840563,0.183710771,0.174248199,0.174279366,0.197198921,0.190438982,0.210095517,0.186207414,0.165809555,0.16696462,0.163062341,1.064896111,1.119757206,1.031344438,0.936112277,0.887295017,0.905678752,1.242120979,1.511847502,1.857827608,1.717013103,2.097469732,2.259053862,2.298407941,1.963423849,1.668824045,1.409209523,1.216529179,1.190605622,1.170565432,1.141803897,0.977976121,0.926850292,0.925980246,0.85470723,0.859046862,0.841063564,0.914599844,0.895844948,0.765456761
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72732693,2.381325916,2.667274812,,,,,,,,,2.400840635,2.180325434,2.468977983,2.231513887,2.281720124,2.472287473,2.781331882,2.853511624,2.512407992,2.483783156,2.390014777,2.231600863,2.358509245,2.341345377,2.581184883,3.509080724,3.506190493,2.679190109,2.42997139
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.123678014,4.512906406,4.386116924,4.683969042,4.654611907,4.906915624,5.279708235,5.099145397,5.827210534,5.219837781,5.180244928,5.158530006,
